City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,badger,64.8,-147.5333,-8.9,84,20,2.57,US,1729981074
84,west island,-12.1568,96.8225,24.99,83,75,4.12,CC,1729981075
85,yellowknife,62.456,-114.3525,-1.44,89,75,4.12,CA,1729981077
86,christchurch,-43.5333,172.6333,14.62,77,75,3.6,NZ,1729981064
87,qaqortoq,60.7167,-46.0333,-2.77,56,100,3.23,GL,1729981079
88,alotau,-10.3069,150.4462,26.75,87,61,3.4,PG,1729981080
89,carutapera,-1.195,-46.02,26.31,72,31,3.89,BR,1729981081
90,kindu,-2.95,25.95,21.14,98,62,0.93,CD,1729980972
91,happy valley-goose bay,53.3168,-60.3315,1.87,71,100,0.78,CA,1729980909
92,pekalongan,-6.8886,109.6753,25.74,74,16,2.14,ID,1729981084
93,kill devil hills,36.0307,-75.676,19.43,71,0,3.09,US,1729980953
94,berberati,4.2612,15.7922,20.74,98,81,1.34,CF,1729981087
95,richards bay,-28.783,32.0377,18.91,89,100,2.26,ZA,1729981088
96,wuxue,29.8506,115.5525,17.79,89,100,2.29,CN,1729981089
97,buncrana,55.1333,-7.45,6.96,75,35,4.0,IE,1729981090
98,tazovsky,67.4667,78.7,-17.52,99,88,2.2,RU,1729981091
99,micheweni,-4.9667,39.8333,25.51,91,99,3.25,TZ,1729981092
100,farshut,26.0549,32.1633,19.99,32,52,3.05,EG,1729981093
101,bredasdorp,-34.5322,20.0403,13.52,90,100,4.0,ZA,1729981094
102,al mahwit,15.4701,43.5448,15.94,74,93,1.16,YE,1729981095
103,lihue,21.9789,-159.3672,25.81,88,75,6.69,US,1729981097
104,yaguajay,22.3272,-79.2378,25.82,80,32,5.43,CU,1729981098
105,laojunmiao,39.8333,97.7333,5.98,36,1,1.68,CN,1729981099
106,kapuskasing,49.4169,-82.4331,3.05,70,75,3.6,CA,1729981100
107,veraval,20.9,70.3667,26.75,57,12,3.89,IN,1729981101
108,antalaha,-14.9003,50.2788,22.26,93,45,1.78,MG,1729981103
109,piti village,13.4626,144.6933,26.03,93,74,4.47,GU,1729981104
110,margate,51.3813,1.3862,12.05,90,99,4.0,GB,1729981029
111,sandnessjoen,66.0217,12.6316,8.71,70,94,11.32,NO,1729981106
112,pandan,14.0453,124.1694,26.14,84,100,1.81,PH,1729981107
113,boromo,11.75,-2.9333,29.2,39,100,1.51,BF,1729981108
114,kailua-kona,19.6406,-155.9956,30.98,70,75,4.12,US,1729981110
115,horta,38.5333,-28.6333,19.45,75,50,4.02,PT,1729981111
116,tubarjal,30.4999,38.216,17.29,66,0,3.68,SA,1729981112
117,georgetown,5.4112,100.3354,25.96,88,40,1.54,MY,1729981023
118,kefamenanu,-9.4467,124.4781,24.16,60,30,1.03,ID,1729981114
119,invercargill,-46.4,168.35,8.9,87,100,4.92,NZ,1729981115
120,mont-dore,-22.2833,166.5833,23.43,73,100,4.42,NC,1729981116
121,papatowai,-46.5619,169.4708,6.69,96,100,5.15,NZ,1729981117
122,tsengel,49.4783,100.8894,0.65,54,96,1.14,MN,1729981119
123,la passe,45.5549,-0.8967,13.58,87,100,4.33,FR,1729981120
124,port elizabeth,-33.918,25.5701,17.4,90,0,11.83,ZA,1729981121
125,fort bragg,35.139,-79.006,24.91,58,20,2.06,US,1729981122
126,abuja,9.0574,7.4898,25.08,69,15,0.53,NG,1729980948
